Elemento,Prefab,Hijo,Pivote_local,Euler_inicial,Rango
Fuego,Posada,Contraventana_HingeY_3,"[2.41, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Posada,Contraventana_HingeY_4,"[3.49, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Tienda_Armas,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Tienda_Armas,Contraventana_HingeY,"[-2.99, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Tienda_Armas,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Tienda_Armas,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Tienda_Armas,Contraventana_HingeY_4,"[2.99, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Tienda_Armaduras,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Tienda_Armaduras,Contraventana_HingeY,"[-2.99, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Tienda_Armaduras,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Tienda_Armaduras,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Tienda_Armaduras,Contraventana_HingeY_4,"[2.99, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Tienda_Artefactos,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Tienda_Artefactos,Contraventana_HingeY,"[-2.74, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Tienda_Artefactos,Contraventana_HingeY_2,"[-1.6600000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Tienda_Artefactos,Contraventana_HingeY_3,"[1.6600000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Tienda_Artefactos,Contraventana_HingeY_4,"[2.74, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Herreria,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Herreria,Contraventana_HingeY,"[-3.24, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Herreria,Contraventana_HingeY_2,"[-2.16, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Herreria,Contraventana_HingeY_3,"[2.16, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Herreria,Contraventana_HingeY_4,"[3.24, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Archivo,Puerta_HingeY,"[-0.84, 0.12, -4.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Archivo,Contraventana_HingeY,"[-3.49, 1.22, -4.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Archivo,Contraventana_HingeY_2,"[-2.41, 1.22, -4.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Archivo,Contraventana_HingeY_3,"[2.41, 1.22, -4.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Archivo,Contraventana_HingeY_4,"[3.49, 1.22, -4.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Santuario,Puerta_HingeY,"[-0.84, 0.12, -4.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Santuario,Contraventana_HingeY,"[-3.24, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Santuario,Contraventana_HingeY_2,"[-2.16, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Santuario,Contraventana_HingeY_3,"[2.16, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Santuario,Contraventana_HingeY_4,"[3.24, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Mercado_Negro,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Mercado_Negro,Contraventana_HingeY,"[-2.74, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Mercado_Negro,Contraventana_HingeY_2,"[-1.6600000000000001, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Mercado_Negro,Contraventana_HingeY_3,"[1.6600000000000001, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Mercado_Negro,Contraventana_HingeY_4,"[2.74, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Museo,Puerta_HingeY,"[-0.84, 0.12, -4.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Fuego,Museo,Contraventana_HingeY,"[-3.49, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Museo,Contraventana_HingeY_2,"[-2.41, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Museo,Contraventana_HingeY_3,"[2.41, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Fuego,Museo,Contraventana_HingeY_4,"[3.49, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Fuego,Porton,Hoja_Izquierda_HingeY,"[-1.8, 0, 0]","[0, 90, 0]",Y 0..90
Fuego,Porton,Hoja_Derecha_HingeY,"[1.8, 0, 0]","[0, 90, 0]",Y 180..90
Fuego,Farola,Farol_SwingX,"[0.59, 2.68, 0]","[0, 0, 0]",X +/-12; Z +/-12
Fuego,Farol_Pared,Farol_SwingX,"[0, 0.8, 0.45]","[0, 0, 0]",X +/-12; Z +/-12
Fuego,Portilla,Portilla_HingeY,"[-0.8, 0, 0]","[0, 0, 0]",Y 0..100
Fuego,Barril_Cerrado,Tapa_ExtraibleY,"[0, 1.04, 0]","[0, 0, 0]",traslacion +Y
Fuego,Caja_Cerrada,Tapa_HingeX,"[0, 0.77, 0.42]","[0, 0, 0]",X 0..-100
Fuego,Carro_Mano,Rueda_1_AxleZ,"[0.7311973, 0.512, -0.69]","[0, 0, 0]",Z 0..360
Fuego,Carro_Mano,Rueda_2_AxleZ,"[0.7311973, 0.512, 0.69]","[0, 0, 0]",Z 0..360
Fuego,Carretilla,Rueda_1_AxleZ,"[0.7091189999999999, 0.342, 0.0]","[0, 0, 0]",Z 0..360
Fuego,Pozo,Torno_AxleX,"[0, 1.66, 0]","[0, 0, 0]",X 0..360
Fuego,Cubo,Asa_AxleX,"[0, 0.51, 0]","[0, 0, 0]",X 0..90
Fuego,Armario,Puerta_HingeY,"[-0.65, 0.1, -0.4]","[0, 0, 0]",Y +/-100 desde cerrado
Fuego,Armario,Puerta_HingeY_2,"[0.65, 0.1, -0.4]","[0, 180, 0]",Y +/-100 desde cerrado
Fuego,Cofre,Tapa_HingeX,"[0, 0.58, 0.34]","[0, 0, 0]",X 0..-105
Fuego,Puerta,Hoja_HingeY,"[0, 0, 0]","[0, 0, 0]",Y 0..100
Fuego,Contraventana,Hoja_HingeY,"[0, 0, 0]","[0, 0, 0]",Y 0..100
Fuego,Trampilla,Tapa_HingeX,"[0, 0, 0]","[0, 0, 0]",X 0..-100
Fuego,Veleta,Rotor_AxleY,"[0, 1.5, 0]","[0, 0, 0]",Y 0..360
Fuego,Portal,Aro_AxleZ,"[0, 2.42, 0]","[0, 0, 0]",Z 0..360
Fuego,Forja,Fuelle_HingeZ,"[-1.2, 0.8, 0]","[0, 0, 0]",Z 0..20
Fuego,Entrenamiento,Diana_AxleY,"[0, 1.43, 0]","[0, 0, 0]",Y +/-90
Fuego,Vitrina,Tapa_HingeX,"[0, 0.97, 0.45]","[0, 0, 0]",X 0..-100
Trueno,Casa_Pequena,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Casa_Pequena,Contraventana_HingeY,"[-2.49, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Casa_Pequena,Contraventana_HingeY_2,"[-1.41, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Casa_Pequena,Contraventana_HingeY_3,"[1.41, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Casa_Pequena,Contraventana_HingeY_4,"[2.49, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Casa_Jugador,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Casa_Jugador,Contraventana_HingeY,"[-2.99, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Casa_Jugador,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Casa_Jugador,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Casa_Jugador,Contraventana_HingeY_4,"[2.99, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Casa_Dos_Estancias,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Casa_Dos_Estancias,Contraventana_HingeY,"[-3.49, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Casa_Dos_Estancias,Contraventana_HingeY_2,"[-2.41, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Casa_Dos_Estancias,Contraventana_HingeY_3,"[2.41, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Casa_Dos_Estancias,Contraventana_HingeY_4,"[3.49, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Posada,Puerta_HingeY,"[-0.84, 0.12, -4.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Posada,Contraventana_HingeY,"[-3.49, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Posada,Contraventana_HingeY_2,"[-2.41, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Posada,Contraventana_HingeY_3,"[2.41, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Posada,Contraventana_HingeY_4,"[3.49, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Tienda_Armas,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Tienda_Armas,Contraventana_HingeY,"[-2.99, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Tienda_Armas,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Tienda_Armas,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Tienda_Armas,Contraventana_HingeY_4,"[2.99, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Tienda_Armaduras,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Tienda_Armaduras,Contraventana_HingeY,"[-2.99, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Tienda_Armaduras,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Tienda_Armaduras,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Tienda_Armaduras,Contraventana_HingeY_4,"[2.99, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Tienda_Artefactos,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Tienda_Artefactos,Contraventana_HingeY,"[-2.74, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Tienda_Artefactos,Contraventana_HingeY_2,"[-1.6600000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Tienda_Artefactos,Contraventana_HingeY_3,"[1.6600000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Tienda_Artefactos,Contraventana_HingeY_4,"[2.74, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Herreria,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Herreria,Contraventana_HingeY,"[-3.24, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Herreria,Contraventana_HingeY_2,"[-2.16, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Herreria,Contraventana_HingeY_3,"[2.16, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Herreria,Contraventana_HingeY_4,"[3.24, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Archivo,Puerta_HingeY,"[-0.84, 0.12, -4.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Archivo,Contraventana_HingeY,"[-3.49, 1.22, -4.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Archivo,Contraventana_HingeY_2,"[-2.41, 1.22, -4.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Archivo,Contraventana_HingeY_3,"[2.41, 1.22, -4.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Archivo,Contraventana_HingeY_4,"[3.49, 1.22, -4.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Santuario,Puerta_HingeY,"[-0.84, 0.12, -4.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Santuario,Contraventana_HingeY,"[-3.24, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Santuario,Contraventana_HingeY_2,"[-2.16, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Santuario,Contraventana_HingeY_3,"[2.16, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Santuario,Contraventana_HingeY_4,"[3.24, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Mercado_Negro,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Mercado_Negro,Contraventana_HingeY,"[-2.74, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Mercado_Negro,Contraventana_HingeY_2,"[-1.6600000000000001, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Mercado_Negro,Contraventana_HingeY_3,"[1.6600000000000001, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Mercado_Negro,Contraventana_HingeY_4,"[2.74, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Museo,Puerta_HingeY,"[-0.84, 0.12, -4.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Trueno,Museo,Contraventana_HingeY,"[-3.49, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Museo,Contraventana_HingeY_2,"[-2.41, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Museo,Contraventana_HingeY_3,"[2.41, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Trueno,Museo,Contraventana_HingeY_4,"[3.49, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Trueno,Porton,Hoja_Izquierda_HingeY,"[-1.8, 0, 0]","[0, 90, 0]",Y 0..90
Trueno,Porton,Hoja_Derecha_HingeY,"[1.8, 0, 0]","[0, 90, 0]",Y 180..90
Trueno,Farola,Farol_SwingX,"[0.59, 2.68, 0]","[0, 0, 0]",X +/-12; Z +/-12
Trueno,Farol_Pared,Farol_SwingX,"[0, 0.8, 0.45]","[0, 0, 0]",X +/-12; Z +/-12
Trueno,Portilla,Portilla_HingeY,"[-0.8, 0, 0]","[0, 0, 0]",Y 0..100
Trueno,Barril_Cerrado,Tapa_ExtraibleY,"[0, 1.04, 0]","[0, 0, 0]",traslacion +Y
Trueno,Caja_Cerrada,Tapa_HingeX,"[0, 0.77, 0.42]","[0, 0, 0]",X 0..-100
Trueno,Carro_Mano,Rueda_1_AxleZ,"[0.7311973, 0.512, -0.69]","[0, 0, 0]",Z 0..360
Trueno,Carro_Mano,Rueda_2_AxleZ,"[0.7311973, 0.512, 0.69]","[0, 0, 0]",Z 0..360
Trueno,Carretilla,Rueda_1_AxleZ,"[0.7091189999999999, 0.342, 0.0]","[0, 0, 0]",Z 0..360
Trueno,Pozo,Torno_AxleX,"[0, 1.66, 0]","[0, 0, 0]",X 0..360
Trueno,Cubo,Asa_AxleX,"[0, 0.51, 0]","[0, 0, 0]",X 0..90
Trueno,Armario,Puerta_HingeY,"[-0.65, 0.1, -0.4]","[0, 0, 0]",Y +/-100 desde cerrado
Trueno,Armario,Puerta_HingeY_2,"[0.65, 0.1, -0.4]","[0, 180, 0]",Y +/-100 desde cerrado
Trueno,Cofre,Tapa_HingeX,"[0, 0.58, 0.34]","[0, 0, 0]",X 0..-105
Trueno,Puerta,Hoja_HingeY,"[0, 0, 0]","[0, 0, 0]",Y 0..100
Trueno,Contraventana,Hoja_HingeY,"[0, 0, 0]","[0, 0, 0]",Y 0..100
Trueno,Trampilla,Tapa_HingeX,"[0, 0, 0]","[0, 0, 0]",X 0..-100
Trueno,Veleta,Rotor_AxleY,"[0, 1.5, 0]","[0, 0, 0]",Y 0..360
Trueno,Portal,Aro_AxleZ,"[0, 2.42, 0]","[0, 0, 0]",Z 0..360
Trueno,Forja,Fuelle_HingeZ,"[-1.2, 0.8, 0]","[0, 0, 0]",Z 0..20
Trueno,Entrenamiento,Diana_AxleY,"[0, 1.43, 0]","[0, 0, 0]",Y +/-90
Trueno,Vitrina,Tapa_HingeX,"[0, 0.97, 0.45]","[0, 0, 0]",X 0..-100
Luz,Casa_Pequena,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Casa_Pequena,Contraventana_HingeY,"[-2.49, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Casa_Pequena,Contraventana_HingeY_2,"[-1.41, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Casa_Pequena,Contraventana_HingeY_3,"[1.41, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Casa_Pequena,Contraventana_HingeY_4,"[2.49, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Casa_Jugador,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Casa_Jugador,Contraventana_HingeY,"[-2.99, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Casa_Jugador,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Casa_Jugador,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Casa_Jugador,Contraventana_HingeY_4,"[2.99, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Casa_Dos_Estancias,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Casa_Dos_Estancias,Contraventana_HingeY,"[-3.49, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Casa_Dos_Estancias,Contraventana_HingeY_2,"[-2.41, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Casa_Dos_Estancias,Contraventana_HingeY_3,"[2.41, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Casa_Dos_Estancias,Contraventana_HingeY_4,"[3.49, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Posada,Puerta_HingeY,"[-0.84, 0.12, -4.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Posada,Contraventana_HingeY,"[-3.49, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Posada,Contraventana_HingeY_2,"[-2.41, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Posada,Contraventana_HingeY_3,"[2.41, 1.22, -4.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Posada,Contraventana_HingeY_4,"[3.49, 1.22, -4.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Tienda_Armas,Puerta_HingeY,"[-0.84, 0.12, -3.22]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Tienda_Armas,Contraventana_HingeY,"[-2.99, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Tienda_Armas,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Tienda_Armas,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.19]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Tienda_Armas,Contraventana_HingeY_4,"[2.99, 1.22, -3.19]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Tienda_Armaduras,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Tienda_Armaduras,Contraventana_HingeY,"[-2.99, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Tienda_Armaduras,Contraventana_HingeY_2,"[-1.9100000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Tienda_Armaduras,Contraventana_HingeY_3,"[1.9100000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Tienda_Armaduras,Contraventana_HingeY_4,"[2.99, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Tienda_Artefactos,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Tienda_Artefactos,Contraventana_HingeY,"[-2.74, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Tienda_Artefactos,Contraventana_HingeY_2,"[-1.6600000000000001, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Tienda_Artefactos,Contraventana_HingeY_3,"[1.6600000000000001, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Tienda_Artefactos,Contraventana_HingeY_4,"[2.74, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Herreria,Puerta_HingeY,"[-0.84, 0.12, -3.72]","[0, 100, 0]",Y: 0 cerrada / 100 abierta
Luz,Herreria,Contraventana_HingeY,"[-3.24, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Herreria,Contraventana_HingeY_2,"[-2.16, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
Luz,Herreria,Contraventana_HingeY_3,"[2.16, 1.22, -3.69]","[0, -100, 0]",Y: 0 cerrada / -100 abierta
Luz,Herreria,Contraventana_HingeY_4,"[3.24, 1.22, -3.69]","[0, 80, 0]",Y: 180 cerrada / 80 abierta
