Elemento,Categoria,Prefab,Ruta,Triangulos,Hijos,Hijos_animables
Fuego,Modulos,Toldo,Biomes/Fuego/Prefabs/Modulos/Toldo.prefab,44,1,0
Fuego,Modulos,Barandilla,Biomes/Fuego/Prefabs/Modulos/Barandilla.prefab,264,1,0
Fuego,Modulos,Acequia,Biomes/Fuego/Prefabs/Modulos/Acequia.prefab,132,1,0
Fuego,Props,Puente_Madera,Biomes/Fuego/Prefabs/Props/Puente_Madera.prefab,7656,1,0
Fuego,Props,Banco_Respaldo,Biomes/Fuego/Prefabs/Props/Banco_Respaldo.prefab,660,1,0
Fuego,Props,Banco_Simple,Biomes/Fuego/Prefabs/Props/Banco_Simple.prefab,484,1,0
Fuego,Props,Mesa_Picnic,Biomes/Fuego/Prefabs/Props/Mesa_Picnic.prefab,704,1,0
Fuego,Props,Taburete,Biomes/Fuego/Prefabs/Props/Taburete.prefab,336,1,0
Fuego,Props,Silla,Biomes/Fuego/Prefabs/Props/Silla.prefab,528,1,0
Fuego,Props,Farola,Biomes/Fuego/Prefabs/Props/Farola.prefab,624,3,1
Fuego,Props,Farol_Pared,Biomes/Fuego/Prefabs/Props/Farol_Pared.prefab,624,3,1
Fuego,Props,Valla_Tablillas,Biomes/Fuego/Prefabs/Props/Valla_Tablillas.prefab,660,1,0
Fuego,Props,Valla_Travesanos,Biomes/Fuego/Prefabs/Props/Valla_Travesanos.prefab,264,1,0
Fuego,Props,Valla_Cruzada,Biomes/Fuego/Prefabs/Props/Valla_Cruzada.prefab,352,1,0
Fuego,Props,Valla_Esquina,Biomes/Fuego/Prefabs/Props/Valla_Esquina.prefab,308,1,0
Fuego,Props,Portilla,Biomes/Fuego/Prefabs/Props/Portilla.prefab,572,2,1
Fuego,Props,Bolardo,Biomes/Fuego/Prefabs/Props/Bolardo.prefab,496,1,0
Fuego,Props,Senal_Blanca,Biomes/Fuego/Prefabs/Props/Senal_Blanca.prefab,132,1,0
Fuego,Props,Barril_Cerrado,Biomes/Fuego/Prefabs/Props/Barril_Cerrado.prefab,1632,2,1
Fuego,Props,Barril_Abierto,Biomes/Fuego/Prefabs/Props/Barril_Abierto.prefab,1472,1,0
Fuego,Props,Caja_Cerrada,Biomes/Fuego/Prefabs/Props/Caja_Cerrada.prefab,968,2,1
Fuego,Props,Caja_Abierta,Biomes/Fuego/Prefabs/Props/Caja_Abierta.prefab,924,1,0
Fuego,Props,Tablones_Apilados,Biomes/Fuego/Prefabs/Props/Tablones_Apilados.prefab,792,1,0
Fuego,Props,Lenero,Biomes/Fuego/Prefabs/Props/Lenero.prefab,1704,1,0
Fuego,Props,Carro_Mano,Biomes/Fuego/Prefabs/Props/Carro_Mano.prefab,2752,3,2
Fuego,Props,Carretilla,Biomes/Fuego/Prefabs/Props/Carretilla.prefab,1288,2,1
Fuego,Props,Pozo,Biomes/Fuego/Prefabs/Props/Pozo.prefab,696,4,1
Fuego,Props,Abrevadero,Biomes/Fuego/Prefabs/Props/Abrevadero.prefab,308,1,0
Fuego,Props,Cubo,Biomes/Fuego/Prefabs/Props/Cubo.prefab,496,2,1
Fuego,Props,Saco,Biomes/Fuego/Prefabs/Props/Saco.prefab,704,1,0
Fuego,Props,Escalera,Biomes/Fuego/Prefabs/Props/Escalera.prefab,1368,1,0
Fuego,Props,Puesto_Sencillo,Biomes/Fuego/Prefabs/Props/Puesto_Sencillo.prefab,660,1,0
Fuego,Props,Jardinera,Biomes/Fuego/Prefabs/Props/Jardinera.prefab,748,1,0
Fuego,Props,Cama,Biomes/Fuego/Prefabs/Props/Cama.prefab,220,1,0
Fuego,Props,Armario,Biomes/Fuego/Prefabs/Props/Armario.prefab,1232,3,2
Fuego,Props,Cofre,Biomes/Fuego/Prefabs/Props/Cofre.prefab,264,2,1
Fuego,Props,Mesa_Interior,Biomes/Fuego/Prefabs/Props/Mesa_Interior.prefab,220,1,0
Fuego,Props,Estanteria,Biomes/Fuego/Prefabs/Props/Estanteria.prefab,264,1,0
Fuego,Props,Mostrador,Biomes/Fuego/Prefabs/Props/Mostrador.prefab,88,1,0
Fuego,Props,Cocina,Biomes/Fuego/Prefabs/Props/Cocina.prefab,556,1,0
Fuego,Props,Alfombra,Biomes/Fuego/Prefabs/Props/Alfombra.prefab,44,1,0
Fuego,Props,Puerta,Biomes/Fuego/Prefabs/Props/Puerta.prefab,484,1,1
Fuego,Props,Contraventana,Biomes/Fuego/Prefabs/Props/Contraventana.prefab,264,1,1
Fuego,Props,Trampilla,Biomes/Fuego/Prefabs/Props/Trampilla.prefab,44,1,1
Fuego,Props,Veleta,Biomes/Fuego/Prefabs/Props/Veleta.prefab,336,2,1
Fuego,Sistemas,Portal,Biomes/Fuego/Prefabs/Sistemas/Portal.prefab,476,2,1
Fuego,Sistemas,Altar_Sacrificio,Biomes/Fuego/Prefabs/Sistemas/Altar_Sacrificio.prefab,520,2,0
Fuego,Sistemas,Forja,Biomes/Fuego/Prefabs/Sistemas/Forja.prefab,176,2,1
Fuego,Sistemas,Yunque,Biomes/Fuego/Prefabs/Sistemas/Yunque.prefab,132,1,0
Fuego,Sistemas,Entrenamiento,Biomes/Fuego/Prefabs/Sistemas/Entrenamiento.prefab,364,2,1
Fuego,Sistemas,Vitrina,Biomes/Fuego/Prefabs/Sistemas/Vitrina.prefab,132,2,1
Fuego,Sistemas,Expositor_Armas,Biomes/Fuego/Prefabs/Sistemas/Expositor_Armas.prefab,396,1,0
Fuego,Sistemas,Pedestal_Trofeo,Biomes/Fuego/Prefabs/Sistemas/Pedestal_Trofeo.prefab,288,1,0
Fuego,Sistemas,Fuente_Purificacion,Biomes/Fuego/Prefabs/Sistemas/Fuente_Purificacion.prefab,816,2,0
Fuego,Sistemas,Jardin_Memorias,Biomes/Fuego/Prefabs/Sistemas/Jardin_Memorias.prefab,308,2,0
Trueno,Edificios,Casa_Pequena,Biomes/Trueno/Prefabs/Edificios/Casa_Pequena.prefab,5660,12,5
Trueno,Edificios,Casa_Jugador,Biomes/Trueno/Prefabs/Edificios/Casa_Jugador.prefab,5660,12,5
Trueno,Edificios,Casa_Dos_Estancias,Biomes/Trueno/Prefabs/Edificios/Casa_Dos_Estancias.prefab,5792,12,5
Trueno,Edificios,Posada,Biomes/Trueno/Prefabs/Edificios/Posada.prefab,5792,12,5
Trueno,Edificios,Tienda_Armas,Biomes/Trueno/Prefabs/Edificios/Tienda_Armas.prefab,5528,12,5
Trueno,Edificios,Tienda_Armaduras,Biomes/Trueno/Prefabs/Edificios/Tienda_Armaduras.prefab,5528,12,5
Trueno,Edificios,Tienda_Artefactos,Biomes/Trueno/Prefabs/Edificios/Tienda_Artefactos.prefab,5528,12,5
Trueno,Edificios,Herreria,Biomes/Trueno/Prefabs/Edificios/Herreria.prefab,5572,12,5
Trueno,Edificios,Archivo,Biomes/Trueno/Prefabs/Edificios/Archivo.prefab,5704,12,5
Trueno,Edificios,Santuario,Biomes/Trueno/Prefabs/Edificios/Santuario.prefab,5784,12,5
Trueno,Edificios,Mercado_Negro,Biomes/Trueno/Prefabs/Edificios/Mercado_Negro.prefab,5528,12,5
Trueno,Edificios,Museo,Biomes/Trueno/Prefabs/Edificios/Museo.prefab,5704,12,5
Trueno,Modulos,Suelo_2m,Biomes/Trueno/Prefabs/Modulos/Suelo_2m.prefab,44,1,0
Trueno,Modulos,Suelo_4m,Biomes/Trueno/Prefabs/Modulos/Suelo_4m.prefab,44,1,0
Trueno,Modulos,Calle_Recta,Biomes/Trueno/Prefabs/Modulos/Calle_Recta.prefab,396,1,0
Trueno,Modulos,Cruce,Biomes/Trueno/Prefabs/Modulos/Cruce.prefab,396,1,0
Trueno,Modulos,Calle_Curva,Biomes/Trueno/Prefabs/Modulos/Calle_Curva.prefab,528,1,0
Trueno,Modulos,Bordillo,Biomes/Trueno/Prefabs/Modulos/Bordillo.prefab,44,1,0
Trueno,Modulos,Muro_2m,Biomes/Trueno/Prefabs/Modulos/Muro_2m.prefab,44,1,0
Trueno,Modulos,Muro_Puerta,Biomes/Trueno/Prefabs/Modulos/Muro_Puerta.prefab,132,1,0
Trueno,Modulos,Muro_Ventana,Biomes/Trueno/Prefabs/Modulos/Muro_Ventana.prefab,176,1,0
Trueno,Modulos,Pilar,Biomes/Trueno/Prefabs/Modulos/Pilar.prefab,88,1,0
Trueno,Modulos,Escalones,Biomes/Trueno/Prefabs/Modulos/Escalones.prefab,132,1,0
Trueno,Modulos,Rampa,Biomes/Trueno/Prefabs/Modulos/Rampa.prefab,44,1,0
Trueno,Modulos,Pasarela,Biomes/Trueno/Prefabs/Modulos/Pasarela.prefab,704,1,0
Trueno,Modulos,Muralla,Biomes/Trueno/Prefabs/Modulos/Muralla.prefab,88,1,0
Trueno,Modulos,Porton,Biomes/Trueno/Prefabs/Modulos/Porton.prefab,1100,3,2
Trueno,Modulos,Escalera_Interior,Biomes/Trueno/Prefabs/Modulos/Escalera_Interior.prefab,792,1,0
Trueno,Modulos,Tejado_Modular,Biomes/Trueno/Prefabs/Modulos/Tejado_Modular.prefab,44,1,0
Trueno,Modulos,Toldo,Biomes/Trueno/Prefabs/Modulos/Toldo.prefab,44,1,0
Trueno,Modulos,Barandilla,Biomes/Trueno/Prefabs/Modulos/Barandilla.prefab,264,1,0
Trueno,Modulos,Acequia,Biomes/Trueno/Prefabs/Modulos/Acequia.prefab,132,1,0
Trueno,Props,Puente_Madera,Biomes/Trueno/Prefabs/Props/Puente_Madera.prefab,7656,1,0
Trueno,Props,Banco_Respaldo,Biomes/Trueno/Prefabs/Props/Banco_Respaldo.prefab,660,1,0
Trueno,Props,Banco_Simple,Biomes/Trueno/Prefabs/Props/Banco_Simple.prefab,484,1,0
Trueno,Props,Mesa_Picnic,Biomes/Trueno/Prefabs/Props/Mesa_Picnic.prefab,704,1,0
Trueno,Props,Taburete,Biomes/Trueno/Prefabs/Props/Taburete.prefab,336,1,0
Trueno,Props,Silla,Biomes/Trueno/Prefabs/Props/Silla.prefab,528,1,0
Trueno,Props,Farola,Biomes/Trueno/Prefabs/Props/Farola.prefab,624,3,1
Trueno,Props,Farol_Pared,Biomes/Trueno/Prefabs/Props/Farol_Pared.prefab,624,3,1
Trueno,Props,Valla_Tablillas,Biomes/Trueno/Prefabs/Props/Valla_Tablillas.prefab,660,1,0
Trueno,Props,Valla_Travesanos,Biomes/Trueno/Prefabs/Props/Valla_Travesanos.prefab,264,1,0
Trueno,Props,Valla_Cruzada,Biomes/Trueno/Prefabs/Props/Valla_Cruzada.prefab,352,1,0
Trueno,Props,Valla_Esquina,Biomes/Trueno/Prefabs/Props/Valla_Esquina.prefab,308,1,0
Trueno,Props,Portilla,Biomes/Trueno/Prefabs/Props/Portilla.prefab,572,2,1
Trueno,Props,Bolardo,Biomes/Trueno/Prefabs/Props/Bolardo.prefab,496,1,0
Trueno,Props,Senal_Blanca,Biomes/Trueno/Prefabs/Props/Senal_Blanca.prefab,132,1,0
Trueno,Props,Barril_Cerrado,Biomes/Trueno/Prefabs/Props/Barril_Cerrado.prefab,1632,2,1
Trueno,Props,Barril_Abierto,Biomes/Trueno/Prefabs/Props/Barril_Abierto.prefab,1472,1,0
Trueno,Props,Caja_Cerrada,Biomes/Trueno/Prefabs/Props/Caja_Cerrada.prefab,968,2,1
Trueno,Props,Caja_Abierta,Biomes/Trueno/Prefabs/Props/Caja_Abierta.prefab,924,1,0
Trueno,Props,Tablones_Apilados,Biomes/Trueno/Prefabs/Props/Tablones_Apilados.prefab,792,1,0
Trueno,Props,Lenero,Biomes/Trueno/Prefabs/Props/Lenero.prefab,1704,1,0
Trueno,Props,Carro_Mano,Biomes/Trueno/Prefabs/Props/Carro_Mano.prefab,2752,3,2
Trueno,Props,Carretilla,Biomes/Trueno/Prefabs/Props/Carretilla.prefab,1288,2,1
Trueno,Props,Pozo,Biomes/Trueno/Prefabs/Props/Pozo.prefab,696,4,1
Trueno,Props,Abrevadero,Biomes/Trueno/Prefabs/Props/Abrevadero.prefab,308,1,0
Trueno,Props,Cubo,Biomes/Trueno/Prefabs/Props/Cubo.prefab,496,2,1
Trueno,Props,Saco,Biomes/Trueno/Prefabs/Props/Saco.prefab,704,1,0
Trueno,Props,Escalera,Biomes/Trueno/Prefabs/Props/Escalera.prefab,1368,1,0
Trueno,Props,Puesto_Sencillo,Biomes/Trueno/Prefabs/Props/Puesto_Sencillo.prefab,660,1,0
Trueno,Props,Jardinera,Biomes/Trueno/Prefabs/Props/Jardinera.prefab,748,1,0
Trueno,Props,Cama,Biomes/Trueno/Prefabs/Props/Cama.prefab,220,1,0
Trueno,Props,Armario,Biomes/Trueno/Prefabs/Props/Armario.prefab,1232,3,2
Trueno,Props,Cofre,Biomes/Trueno/Prefabs/Props/Cofre.prefab,264,2,1
Trueno,Props,Mesa_Interior,Biomes/Trueno/Prefabs/Props/Mesa_Interior.prefab,220,1,0
Trueno,Props,Estanteria,Biomes/Trueno/Prefabs/Props/Estanteria.prefab,264,1,0
Trueno,Props,Mostrador,Biomes/Trueno/Prefabs/Props/Mostrador.prefab,88,1,0
Trueno,Props,Cocina,Biomes/Trueno/Prefabs/Props/Cocina.prefab,556,1,0
Trueno,Props,Alfombra,Biomes/Trueno/Prefabs/Props/Alfombra.prefab,44,1,0
Trueno,Props,Puerta,Biomes/Trueno/Prefabs/Props/Puerta.prefab,484,1,1
Trueno,Props,Contraventana,Biomes/Trueno/Prefabs/Props/Contraventana.prefab,264,1,1
Trueno,Props,Trampilla,Biomes/Trueno/Prefabs/Props/Trampilla.prefab,44,1,1
Trueno,Props,Veleta,Biomes/Trueno/Prefabs/Props/Veleta.prefab,336,2,1
Trueno,Sistemas,Portal,Biomes/Trueno/Prefabs/Sistemas/Portal.prefab,476,2,1
Trueno,Sistemas,Altar_Sacrificio,Biomes/Trueno/Prefabs/Sistemas/Altar_Sacrificio.prefab,476,2,0
Trueno,Sistemas,Forja,Biomes/Trueno/Prefabs/Sistemas/Forja.prefab,176,2,1
Trueno,Sistemas,Yunque,Biomes/Trueno/Prefabs/Sistemas/Yunque.prefab,132,1,0
Trueno,Sistemas,Entrenamiento,Biomes/Trueno/Prefabs/Sistemas/Entrenamiento.prefab,364,2,1
Trueno,Sistemas,Vitrina,Biomes/Trueno/Prefabs/Sistemas/Vitrina.prefab,132,2,1
Trueno,Sistemas,Expositor_Armas,Biomes/Trueno/Prefabs/Sistemas/Expositor_Armas.prefab,396,1,0
Trueno,Sistemas,Pedestal_Trofeo,Biomes/Trueno/Prefabs/Sistemas/Pedestal_Trofeo.prefab,288,1,0
Trueno,Sistemas,Fuente_Purificacion,Biomes/Trueno/Prefabs/Sistemas/Fuente_Purificacion.prefab,772,2,0
Trueno,Sistemas,Jardin_Memorias,Biomes/Trueno/Prefabs/Sistemas/Jardin_Memorias.prefab,264,2,0
Luz,Edificios,Casa_Pequena,Biomes/Luz/Prefabs/Edificios/Casa_Pequena.prefab,5816,10,5
Luz,Edificios,Casa_Jugador,Biomes/Luz/Prefabs/Edificios/Casa_Jugador.prefab,5816,10,5
Luz,Edificios,Casa_Dos_Estancias,Biomes/Luz/Prefabs/Edificios/Casa_Dos_Estancias.prefab,5948,10,5
Luz,Edificios,Posada,Biomes/Luz/Prefabs/Edificios/Posada.prefab,5948,10,5
Luz,Edificios,Tienda_Armas,Biomes/Luz/Prefabs/Edificios/Tienda_Armas.prefab,5684,10,5
Luz,Edificios,Tienda_Armaduras,Biomes/Luz/Prefabs/Edificios/Tienda_Armaduras.prefab,5684,10,5
Luz,Edificios,Tienda_Artefactos,Biomes/Luz/Prefabs/Edificios/Tienda_Artefactos.prefab,5684,10,5
Luz,Edificios,Herreria,Biomes/Luz/Prefabs/Edificios/Herreria.prefab,5728,10,5
Luz,Edificios,Archivo,Biomes/Luz/Prefabs/Edificios/Archivo.prefab,5860,10,5
Luz,Edificios,Santuario,Biomes/Luz/Prefabs/Edificios/Santuario.prefab,5940,10,5
Luz,Edificios,Mercado_Negro,Biomes/Luz/Prefabs/Edificios/Mercado_Negro.prefab,5684,10,5
Luz,Edificios,Museo,Biomes/Luz/Prefabs/Edificios/Museo.prefab,5860,10,5
Luz,Modulos,Suelo_2m,Biomes/Luz/Prefabs/Modulos/Suelo_2m.prefab,44,1,0
Luz,Modulos,Suelo_4m,Biomes/Luz/Prefabs/Modulos/Suelo_4m.prefab,44,1,0
Luz,Modulos,Calle_Recta,Biomes/Luz/Prefabs/Modulos/Calle_Recta.prefab,396,1,0
Luz,Modulos,Cruce,Biomes/Luz/Prefabs/Modulos/Cruce.prefab,396,1,0
Luz,Modulos,Calle_Curva,Biomes/Luz/Prefabs/Modulos/Calle_Curva.prefab,528,1,0
Luz,Modulos,Bordillo,Biomes/Luz/Prefabs/Modulos/Bordillo.prefab,44,1,0
Luz,Modulos,Muro_2m,Biomes/Luz/Prefabs/Modulos/Muro_2m.prefab,44,1,0
Luz,Modulos,Muro_Puerta,Biomes/Luz/Prefabs/Modulos/Muro_Puerta.prefab,132,1,0
Luz,Modulos,Muro_Ventana,Biomes/Luz/Prefabs/Modulos/Muro_Ventana.prefab,176,1,0
Luz,Modulos,Pilar,Biomes/Luz/Prefabs/Modulos/Pilar.prefab,88,1,0
Luz,Modulos,Escalones,Biomes/Luz/Prefabs/Modulos/Escalones.prefab,132,1,0
Luz,Modulos,Rampa,Biomes/Luz/Prefabs/Modulos/Rampa.prefab,44,1,0
Luz,Modulos,Pasarela,Biomes/Luz/Prefabs/Modulos/Pasarela.prefab,704,1,0
Luz,Modulos,Muralla,Biomes/Luz/Prefabs/Modulos/Muralla.prefab,88,1,0
Luz,Modulos,Porton,Biomes/Luz/Prefabs/Modulos/Porton.prefab,1100,3,2
Luz,Modulos,Escalera_Interior,Biomes/Luz/Prefabs/Modulos/Escalera_Interior.prefab,792,1,0
Luz,Modulos,Tejado_Modular,Biomes/Luz/Prefabs/Modulos/Tejado_Modular.prefab,44,1,0
Luz,Modulos,Toldo,Biomes/Luz/Prefabs/Modulos/Toldo.prefab,44,1,0
Luz,Modulos,Barandilla,Biomes/Luz/Prefabs/Modulos/Barandilla.prefab,264,1,0
Luz,Modulos,Acequia,Biomes/Luz/Prefabs/Modulos/Acequia.prefab,132,1,0
Luz,Props,Puente_Madera,Biomes/Luz/Prefabs/Props/Puente_Madera.prefab,7656,1,0
Luz,Props,Banco_Respaldo,Biomes/Luz/Prefabs/Props/Banco_Respaldo.prefab,660,1,0
Luz,Props,Banco_Simple,Biomes/Luz/Prefabs/Props/Banco_Simple.prefab,484,1,0
Luz,Props,Mesa_Picnic,Biomes/Luz/Prefabs/Props/Mesa_Picnic.prefab,704,1,0
Luz,Props,Taburete,Biomes/Luz/Prefabs/Props/Taburete.prefab,336,1,0
Luz,Props,Silla,Biomes/Luz/Prefabs/Props/Silla.prefab,528,1,0
Luz,Props,Farola,Biomes/Luz/Prefabs/Props/Farola.prefab,624,3,1
Luz,Props,Farol_Pared,Biomes/Luz/Prefabs/Props/Farol_Pared.prefab,624,3,1
Luz,Props,Valla_Tablillas,Biomes/Luz/Prefabs/Props/Valla_Tablillas.prefab,660,1,0
Luz,Props,Valla_Travesanos,Biomes/Luz/Prefabs/Props/Valla_Travesanos.prefab,264,1,0
Luz,Props,Valla_Cruzada,Biomes/Luz/Prefabs/Props/Valla_Cruzada.prefab,352,1,0
Luz,Props,Valla_Esquina,Biomes/Luz/Prefabs/Props/Valla_Esquina.prefab,308,1,0
Luz,Props,Portilla,Biomes/Luz/Prefabs/Props/Portilla.prefab,572,2,1
Luz,Props,Bolardo,Biomes/Luz/Prefabs/Props/Bolardo.prefab,496,1,0
Luz,Props,Senal_Blanca,Biomes/Luz/Prefabs/Props/Senal_Blanca.prefab,132,1,0
Luz,Props,Barril_Cerrado,Biomes/Luz/Prefabs/Props/Barril_Cerrado.prefab,1632,2,1
Luz,Props,Barril_Abierto,Biomes/Luz/Prefabs/Props/Barril_Abierto.prefab,1472,1,0
Luz,Props,Caja_Cerrada,Biomes/Luz/Prefabs/Props/Caja_Cerrada.prefab,968,2,1
Luz,Props,Caja_Abierta,Biomes/Luz/Prefabs/Props/Caja_Abierta.prefab,924,1,0
Luz,Props,Tablones_Apilados,Biomes/Luz/Prefabs/Props/Tablones_Apilados.prefab,792,1,0
Luz,Props,Lenero,Biomes/Luz/Prefabs/Props/Lenero.prefab,1704,1,0
Luz,Props,Carro_Mano,Biomes/Luz/Prefabs/Props/Carro_Mano.prefab,2752,3,2
Luz,Props,Carretilla,Biomes/Luz/Prefabs/Props/Carretilla.prefab,1288,2,1
Luz,Props,Pozo,Biomes/Luz/Prefabs/Props/Pozo.prefab,696,4,1
Luz,Props,Abrevadero,Biomes/Luz/Prefabs/Props/Abrevadero.prefab,308,1,0
Luz,Props,Cubo,Biomes/Luz/Prefabs/Props/Cubo.prefab,496,2,1
Luz,Props,Saco,Biomes/Luz/Prefabs/Props/Saco.prefab,704,1,0
Luz,Props,Escalera,Biomes/Luz/Prefabs/Props/Escalera.prefab,1368,1,0
Luz,Props,Puesto_Sencillo,Biomes/Luz/Prefabs/Props/Puesto_Sencillo.prefab,660,1,0
Luz,Props,Jardinera,Biomes/Luz/Prefabs/Props/Jardinera.prefab,748,1,0
Luz,Props,Cama,Biomes/Luz/Prefabs/Props/Cama.prefab,220,1,0
Luz,Props,Armario,Biomes/Luz/Prefabs/Props/Armario.prefab,1232,3,2
Luz,Props,Cofre,Biomes/Luz/Prefabs/Props/Cofre.prefab,264,2,1
Luz,Props,Mesa_Interior,Biomes/Luz/Prefabs/Props/Mesa_Interior.prefab,220,1,0
Luz,Props,Estanteria,Biomes/Luz/Prefabs/Props/Estanteria.prefab,264,1,0
Luz,Props,Mostrador,Biomes/Luz/Prefabs/Props/Mostrador.prefab,88,1,0
Luz,Props,Cocina,Biomes/Luz/Prefabs/Props/Cocina.prefab,556,1,0
Luz,Props,Alfombra,Biomes/Luz/Prefabs/Props/Alfombra.prefab,44,1,0
Luz,Props,Puerta,Biomes/Luz/Prefabs/Props/Puerta.prefab,484,1,1
Luz,Props,Contraventana,Biomes/Luz/Prefabs/Props/Contraventana.prefab,264,1,1
Luz,Props,Trampilla,Biomes/Luz/Prefabs/Props/Trampilla.prefab,44,1,1
Luz,Props,Veleta,Biomes/Luz/Prefabs/Props/Veleta.prefab,336,2,1
Luz,Sistemas,Portal,Biomes/Luz/Prefabs/Sistemas/Portal.prefab,476,2,1
Luz,Sistemas,Altar_Sacrificio,Biomes/Luz/Prefabs/Sistemas/Altar_Sacrificio.prefab,952,2,0
Luz,Sistemas,Forja,Biomes/Luz/Prefabs/Sistemas/Forja.prefab,176,2,1
Luz,Sistemas,Yunque,Biomes/Luz/Prefabs/Sistemas/Yunque.prefab,132,1,0
Luz,Sistemas,Entrenamiento,Biomes/Luz/Prefabs/Sistemas/Entrenamiento.prefab,364,2,1
Luz,Sistemas,Vitrina,Biomes/Luz/Prefabs/Sistemas/Vitrina.prefab,132,2,1
Luz,Sistemas,Expositor_Armas,Biomes/Luz/Prefabs/Sistemas/Expositor_Armas.prefab,396,1,0
Luz,Sistemas,Pedestal_Trofeo,Biomes/Luz/Prefabs/Sistemas/Pedestal_Trofeo.prefab,288,1,0
Luz,Sistemas,Fuente_Purificacion,Biomes/Luz/Prefabs/Sistemas/Fuente_Purificacion.prefab,1248,2,0
Luz,Sistemas,Jardin_Memorias,Biomes/Luz/Prefabs/Sistemas/Jardin_Memorias.prefab,740,2,0
Oscuridad,Edificios,Casa_Pequena,Biomes/Oscuridad/Prefabs/Edificios/Casa_Pequena.prefab,5776,12,5
Oscuridad,Edificios,Casa_Jugador,Biomes/Oscuridad/Prefabs/Edificios/Casa_Jugador.prefab,5776,12,5
Oscuridad,Edificios,Casa_Dos_Estancias,Biomes/Oscuridad/Prefabs/Edificios/Casa_Dos_Estancias.prefab,5908,12,5
Oscuridad,Edificios,Posada,Biomes/Oscuridad/Prefabs/Edificios/Posada.prefab,5908,12,5
Oscuridad,Edificios,Tienda_Armas,Biomes/Oscuridad/Prefabs/Edificios/Tienda_Armas.prefab,5644,12,5
Oscuridad,Edificios,Tienda_Armaduras,Biomes/Oscuridad/Prefabs/Edificios/Tienda_Armaduras.prefab,5644,12,5
Oscuridad,Edificios,Tienda_Artefactos,Biomes/Oscuridad/Prefabs/Edificios/Tienda_Artefactos.prefab,5644,12,5
Oscuridad,Edificios,Herreria,Biomes/Oscuridad/Prefabs/Edificios/Herreria.prefab,5688,12,5
